UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;task_completion_time;accuracy;mental_demand;circle_size;circle_distance;movement_direction
-1;-1;-1;2026-05-04 14:29:13;1;sampling;FALSE;8045.029;100.0;50.5;45.477;341.245;125.853
-1;-1;-1;2026-05-04 14:29:28;2;sampling;FALSE;11504.135;90.909;50.5;45.007;422.713;5.476
-1;-1;-1;2026-05-04 14:29:42;3;sampling;FALSE;11109.977;83.333;50.5;51.79;402.812;48.628
-1;-1;-1;2026-05-04 14:29:53;4;sampling;FALSE;8416.626;90.909;50.5;61.805;592.623;70.056
-1;-1;-1;2026-05-04 14:30:07;5;sampling;FALSE;11227.745;100.0;50.5;102.901;568.012;36.311
-1;-1;-1;2026-05-04 14:30:17;6;sampling;FALSE;7333.656;100.0;50.5;90.684;249.555;0.932
-1;-1;-1;2026-05-04 14:30:27;7;sampling;TRUE;6826.134;100.0;50.5;98.031;353.85;174.401
-1;-1;-1;2026-05-04 14:30:39;8;sampling;FALSE;8532.913;100.0;50.5;46.309;515.741;94.514
-1;-1;-1;2026-05-04 14:30:51;9;sampling;FALSE;8184.83;100.0;50.5;93.508;666.757;57.234
-1;-1;-1;2026-05-04 14:31:03;10;sampling;FALSE;9282.608;100.0;50.5;47.929;459.339;116.002
-1;-1;-1;2026-05-04 14:31:22;11;optimization;FALSE;10384.14;100.0;50.5;40.0;760.0;180.0
-1;-1;-1;2026-05-04 14:32:02;12;optimization;FALSE;10016.205;90.909;50.5;107.932;282.215;83.983
-1;-1;-1;2026-05-04 14:32:46;13;optimization;FALSE;10484.527;90.909;50.5;91.313;760.0;26.475
-1;-1;-1;2026-05-04 14:33:09;14;optimization;FALSE;10148.209;100.0;50.5;109.0;669.736;58.394
-1;-1;-1;2026-05-04 14:33:29;15;optimization;FALSE;7579.56;100.0;50.5;104.927;300.762;24.325
-1;-1;-1;2026-05-04 14:33:40;16;finaldesign;NULL;8880.279;90.909;50.5;98.031;353.85;174.401
